t,mode,dist,speed,cmd_speed,x,y
6.317,1,50.009,0.000,0.000,837.99,324.00
6.333,1,50.009,0.000,0.000,837.99,324.00
6.350,1,50.009,0.000,0.000,837.99,324.00
6.367,1,50.009,0.000,0.000,837.99,324.00
6.383,1,50.009,0.000,0.000,837.99,324.00
6.400,1,50.009,0.000,0.000,837.99,324.00
6.417,1,50.009,0.000,0.000,837.99,324.00
6.433,1,50.009,0.000,0.000,837.99,324.00
6.450,1,50.009,0.000,0.000,837.99,324.00
6.467,1,50.009,0.000,0.000,837.99,324.00
6.483,1,50.009,0.000,0.000,837.99,324.00
6.500,1,50.009,0.000,0.000,837.99,324.00
6.517,1,50.009,0.000,0.000,837.99,324.00
6.533,1,50.009,0.000,0.000,837.99,324.00
6.550,1,50.009,0.000,0.000,837.99,324.00
6.567,1,50.009,0.000,0.000,837.99,324.00
6.583,1,50.009,0.000,0.000,837.99,324.00
6.600,1,50.009,0.000,0.000,837.99,324.00
6.617,1,50.009,0.000,0.000,837.99,324.00
6.633,1,50.009,0.000,0.000,837.99,324.00
6.650,1,50.009,0.000,0.000,837.99,324.00
6.667,1,50.009,15.000,900.000,837.99,323.75
6.683,1,50.009,30.000,900.000,837.99,323.25
6.700,1,50.009,45.000,900.000,837.99,322.50
6.717,1,50.009,60.000,900.000,837.99,321.50
6.733,1,50.009,75.000,900.000,837.99,320.25
6.750,1,50.009,90.000,900.000,837.99,318.75
6.767,1,50.009,105.000,900.000,837.99,317.00
6.783,1,50.009,120.000,900.000,837.99,315.00
6.800,1,50.009,135.000,900.000,837.99,312.75
6.817,1,50.009,150.000,900.000,837.99,310.25
6.833,1,50.009,165.000,900.000,837.99,307.50
6.850,1,50.009,180.000,900.000,837.99,304.50
6.867,1,50.009,195.000,900.000,837.99,301.25
6.883,1,50.009,210.000,900.000,837.99,297.75
6.900,1,50.009,225.000,900.000,837.99,294.00
6.917,1,50.009,240.000,900.000,837.99,290.00
6.933,1,50.009,240.000,900.000,837.99,286.00
6.950,1,50.009,240.000,900.000,837.99,282.00
6.967,1,50.009,240.000,900.000,837.99,278.00
6.983,1,50.009,240.000,900.000,837.99,274.00
7.000,1,50.009,240.000,900.000,837.99,270.00
7.017,1,50.009,240.000,900.000,837.99,266.00
7.033,1,50.009,240.000,900.000,837.99,262.00
7.050,1,50.009,240.000,900.000,837.99,258.00
7.067,1,50.009,240.000,900.000,837.99,254.00
7.083,1,50.009,240.000,900.000,837.99,250.00
7.100,1,50.009,240.000,900.000,837.99,246.00
7.117,1,50.009,240.000,900.000,837.99,242.00
7.133,1,50.009,240.000,900.000,837.99,238.00
7.150,1,50.009,240.000,900.000,837.99,234.00
7.167,1,50.009,220.800,0.000,837.99,230.32
7.183,1,50.009,203.136,0.000,837.99,226.93
7.200,1,50.009,186.885,0.000,837.99,223.82
7.217,1,50.009,171.934,0.000,837.99,220.95
7.233,1,50.009,158.180,0.000,837.99,218.32
7.250,1,50.009,145.525,0.000,837.99,215.89
7.267,1,49.515,146.296,900.000,837.74,213.47
7.283,1,47.334,148.585,900.000,837.24,211.04
7.300,1,45.006,152.324,900.000,836.49,208.62
7.317,1,42.524,157.409,900.000,835.49,206.19
7.333,1,39.884,163.715,900.000,834.24,203.77
7.350,1,37.081,171.107,900.000,832.74,201.34
7.367,1,34.111,179.451,900.000,830.99,198.91
7.383,1,30.973,188.620,900.000,828.99,196.49
7.400,1,27.665,198.501,900.000,826.74,194.06
7.417,1,24.728,176.454,900.000,824.63,192.02
7.433,1,22.713,121.604,900.000,823.10,190.69
7.450,1,21.591,68.546,900.000,822.18,190.00
7.467,1,21.024,35.623,900.000,821.67,189.70
7.483,1,20.730,19.742,900.000,821.36,189.58
7.500,1,20.553,13.042,900.000,821.15,189.54
7.517,1,20.426,10.323,900.000,820.98,189.52
7.533,1,20.320,9.149,900.000,820.83,189.51
7.550,1,20.223,8.563,900.000,820.69,189.51
7.567,1,20.132,8.205,900.000,820.55,189.51
7.583,1,20.044,7.939,900.000,820.42,189.51
7.600,1,19.959,7.714,900.000,820.29,189.51
